capacity,arm,m1,m2
2,LC_HI,97.0,131.0
2,LC_HI,126.0,208.0
2,LC_HI,78.0,96.0
2,LC_HI,110.0,124.0
2,LC_HI,96.0,174.0
2,LC_HI,48.0,91.0
2,LC_HI,145.0,174.0
2,LC_HI,92.0,165.0
2,LC_HI,97.0,140.0
2,LC_HI,131.0,164.0
2,LC_HI,107.0,139.0
2,LC_HI,126.0,146.0
2,LC_HI,81.0,155.0
2,LC_HI,125.0,199.0
2,LC_HI,115.0,144.0
2,LC_HI,106.0,154.0
2,LC_HI,48.0,91.0
2,LC_HI,126.0,165.0
2,LC_HI,92.0,120.0
2,LC_HI,121.0,170.0
2,LC_HI,111.0,199.0
2,LC_HI,116.0,160.0
2,LC_HI,107.0,135.0
2,LC_HI,116.0,130.0
2,LC_HI,126.0,126.0
2,LC_HI,107.0,146.0
2,LC_HI,101.0,110.0
2,LC_HI,130.0,198.0
2,LC_HI,126.0,179.0
2,LC_HI,126.0,169.0
2,LC_HI,135.0,184.0
2,LC_HI,126.0,116.0
2,LC_HI,101.0,135.0
2,LC_HI,106.0,150.0
2,LC_HI,112.0,189.0
2,LC_HI,151.0,224.0
2,LC_HI,96.0,150.0
2,LC_HI,141.0,204.0
2,LC_HI,111.0,140.0
2,LC_HI,116.0,163.0
2,LC_HI,82.0,121.0
2,LC_HI,145.0,223.0
2,LC_HI,120.0,174.0
2,LC_HI,102.0,107.0
2,LC_HI,121.0,168.0
2,LC_HI,101.0,145.0
2,LC_HI,115.0,189.0
2,LC_HI,121.0,165.0
2,LC_HI,97.0,131.0
2,LC_HI,121.0,131.0
2,LC_HI,115.0,174.0
2,LC_HI,92.0,145.0
2,LC_HI,96.0,154.0
2,LC_HI,150.0,193.0
2,LC_LI,135.0,159.0
2,LC_LI,92.0,116.0
2,LC_LI,106.0,150.0
2,LC_LI,90.0,140.0
2,LC_LI,101.0,139.0
2,LC_LI,116.0,145.0
2,LC_LI,107.0,164.0
2,LC_LI,106.0,149.0
2,LC_LI,106.0,150.0
2,LC_LI,106.0,111.0
2,LC_LI,126.0,214.0
2,LC_LI,116.0,140.0
2,LC_LI,102.0,148.0
2,LC_LI,116.0,154.0
2,LC_LI,121.0,164.0
2,LC_LI,125.0,155.0
2,LC_LI,87.0,139.0
2,LC_LI,101.0,160.0
2,LC_LI,119.0,158.0
2,LC_LI,125.0,130.0
2,LC_LI,131.0,194.0
2,LC_LI,150.0,223.0
2,LC_LI,140.0,198.0
2,LC_LI,112.0,164.0
2,LC_LI,121.0,184.0
2,LC_LI,120.0,160.0
2,LC_LI,120.0,164.0
2,LC_LI,126.0,155.0
2,LC_LI,107.0,151.0
2,LC_LI,101.0,198.0
2,LC_LI,101.0,160.0
2,LC_LI,97.0,106.0
2,LC_LI,87.0,179.0
2,LC_LI,107.0,151.0
2,LC_LI,111.0,159.0
2,LC_LI,90.0,140.0
2,LC_LI,87.0,130.0
2,LC_LI,136.0,193.0
2,LC_LI,131.0,145.0
2,LC_LI,126.0,184.0
2,LC_LI,101.0,139.0
2,LC_LI,107.0,125.0
2,LC_LI,136.0,169.0
2,LC_LI,131.0,194.0
2,LC_LI,96.0,155.0
2,LC_LI,107.0,160.0
2,LC_LI,120.0,184.0
2,LC_LI,121.0,183.0
2,LC_LI,140.0,198.0
2,LC_LI,90.0,140.0
2,LC_LI,131.0,204.0
2,LC_LI,131.0,204.0
2,LC_LI,96.0,155.0
2,LC_LI,101.0,139.0
2,LC_LI,120.0,164.0
2,LC_LI,102.0,170.0
2,LC_LI,120.0,164.0
2,LC_LI,116.0,149.0
2,LC_LI,121.0,199.0
2,LC_LI,116.0,141.0
2,LC_LI,120.0,163.0
2,LC_LI,145.0,169.0
2,LC_LI,96.0,144.0
2,LC_LI,136.0,169.0
2,LC_LI,112.0,169.0
2,LC_LI,106.0,149.0
2,LC_LI,91.0,110.0
2,LC_LI,145.0,144.0
2,LC_LI,131.0,204.0
2,LC_LI,120.0,184.0
2,LC_LI,121.0,129.0
2,LC_LI,111.0,140.0
2,LC_LI,125.0,155.0
2,LC_LI,121.0,184.0
2,LC_LI,102.0,126.0
2,LC_LI,90.0,119.0
2,LC_LI,116.0,155.0
2,LC_LI,145.0,154.0
2,LC_LI,97.0,115.0
2,LC_LI,116.0,170.0
2,LC_LI,106.0,135.0
2,LC_LI,107.0,151.0
2,LC_LI,131.0,140.0
2,LC_LI,106.0,169.0
2,LC_LI,136.0,174.0
2,LC_LI,136.0,169.0
2,LC_LI,116.0,155.0
2,LC_LI,116.0,155.0
2,LC_LI,116.0,130.0
2,LC_LI,125.0,173.0
2,LC_LI,120.0,160.0
2,LC_LI,140.0,179.0
2,LC_LI,111.0,120.0
2,LC_LI,121.0,129.0
2,LC_LI,101.0,139.0
2,LC_LI,110.0,144.0
2,LC_LI,120.0,160.0
2,LC_LI,111.0,169.0
2,LC_LI,155.0,164.0
2,LC_LI,127.0,136.0
2,LC_LI,131.0,150.0
2,LC_LI,135.0,198.0
2,LC_LI,106.0,150.0
2,LC_LI,145.0,169.0
