capacity,arm,m1,m2
2,HC_HI,106.0,159.0
2,HC_HI,121.0,184.0
2,HC_HI,78.0,125.0
2,HC_HI,106.0,139.0
2,HC_HI,91.0,119.0
2,HC_HI,131.0,183.0
2,HC_HI,111.0,179.0
2,HC_HI,102.0,150.0
2,HC_HI,101.0,145.0
2,HC_HI,97.0,155.0
2,HC_HI,96.0,159.0
2,HC_HI,82.0,135.0
2,HC_HI,101.0,168.0
2,HC_HI,91.0,169.0
2,HC_HI,126.0,169.0
2,HC_HI,130.0,174.0
2,HC_HI,125.0,140.0
2,HC_HI,77.0,91.0
2,HC_HI,92.0,139.0
2,HC_HI,86.0,149.0
2,HC_HI,116.0,149.0
2,HC_HI,96.0,115.0
2,HC_HI,135.0,203.0
2,HC_HI,140.0,173.0
2,HC_HI,92.0,149.0
2,HC_HI,121.0,179.0
2,HC_HI,100.0,165.0
2,HC_HI,126.0,179.0
2,HC_HI,125.0,138.0
2,HC_HI,121.0,149.0
2,HC_HI,101.0,164.0
2,HC_HI,130.0,159.0
2,HC_HI,101.0,159.0
2,HC_HI,115.0,208.0
2,HC_HI,105.0,164.0
2,HC_HI,121.0,159.0
2,HC_HI,87.0,106.0
2,HC_HI,121.0,208.0
2,HC_HI,97.0,115.0
2,HC_HI,111.0,145.0
2,HC_HI,106.0,183.0
2,HC_HI,106.0,203.0
2,HC_HI,97.0,121.0
2,HC_HI,121.0,174.0
2,HC_HI,150.0,183.0
2,HC_HI,126.0,135.0
2,HC_HI,111.0,130.0
2,HC_HI,115.0,130.0
2,HC_HI,131.0,194.0
2,HC_HI,87.0,102.0
2,HC_HI,160.0,228.0
2,HC_HI,130.0,169.0
2,HC_HI,115.0,178.0
2,HC_HI,145.0,179.0
2,HC_HI,111.0,173.0
2,HC_HI,87.0,126.0
2,HC_HI,110.0,169.0
2,HC_HI,95.0,149.0
2,HC_HI,121.0,179.0
2,HC_HI,126.0,130.0
2,HC_HI,116.0,140.0
2,HC_HI,78.0,125.0
2,HC_HI,126.0,169.0
2,HC_HI,110.0,144.0
2,HC_HI,115.0,154.0
2,HC_HI,77.0,121.0
2,HC_HI,126.0,199.0
2,HC_HI,91.0,159.0
2,HC_HI,126.0,135.0
2,HC_HI,116.0,178.0
2,HC_HI,110.0,168.0
2,HC_HI,126.0,203.0
2,HC_HI,121.0,179.0
2,HC_HI,115.0,178.0
2,HC_HI,126.0,173.0
2,HC_HI,97.0,155.0
2,HC_HI,101.0,134.0
2,HC_HI,165.0,183.0
2,HC_HI,125.0,203.0
2,HC_HI,126.0,135.0
2,HC_HI,91.0,115.0
2,HC_HI,95.0,144.0
2,HC_LI,116.0,193.0
2,HC_LI,116.0,178.0
2,HC_LI,111.0,140.0
2,HC_LI,86.0,119.0
2,HC_LI,111.0,143.0
2,HC_LI,131.0,189.0
2,HC_LI,121.0,149.0
2,HC_LI,111.0,169.0
2,HC_LI,92.0,174.0
2,HC_LI,82.0,139.0
2,HC_LI,141.0,223.0
2,HC_LI,140.0,188.0
2,HC_LI,141.0,223.0
2,HC_LI,116.0,118.0
2,HC_LI,125.0,208.0
2,HC_LI,116.0,159.0
2,HC_LI,131.0,223.0
2,HC_LI,115.0,159.0
2,HC_LI,125.0,188.0
2,HC_LI,101.0,164.0
2,HC_LI,120.0,188.0
2,HC_LI,135.0,198.0
2,HC_LI,105.0,135.0
2,HC_LI,120.0,178.0
2,HC_LI,116.0,141.0
2,HC_LI,135.0,198.0
2,HC_LI,111.0,139.0
2,HC_LI,100.0,179.0
2,HC_LI,97.0,168.0
2,HC_LI,101.0,144.0
2,HC_LI,115.0,199.0
2,HC_LI,125.0,188.0
2,HC_LI,131.0,169.0
2,HC_LI,101.0,149.0
2,HC_LI,110.0,153.0
2,HC_LI,140.0,140.0
2,HC_LI,121.0,218.0
2,HC_LI,116.0,204.0
