config,capacities,total_cap,arm,makespan
homog_2-2-2,"[2, 2, 2]",6,HC_HI,126.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,100.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,91.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,175.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,114.0
