cell,size,arm,policy,makespan
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,131.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,188.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,218.0
E2_c2|batched,6,favorable,P_fcfs,183.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,135.0
E2_c2|batched,6,favorable,P_fcfs,178.0
E2_c2|batched,6,favorable,P_fcfs,154.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,179.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,179.0
E2_c2|batched,6,favorable,P_fcfs,174.0
E2_c2|batched,6,favorable,P_fcfs,120.0
E2_c2|batched,6,favorable,P_fcfs,180.0
E2_c2|batched,6,favorable,P_fcfs,193.0
E2_c2|batched,6,favorable,P_fcfs,160.0
E2_c2|batched,6,favorable,P_fcfs,159.0
E2_c2|batched,6,favorable,P_fcfs,200.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,204.0
E2_c2|batched,6,favorable,P_fcfs,110.0
E2_c2|batched,6,favorable,P_fcfs,234.0
E2_c2|batched,6,favorable,P_fcfs,194.0
E2_c2|batched,6,favorable,P_fcfs,219.0
E2_c2|batched,6,favorable,P_fcfs,135.0
E2_c2|batched,6,favorable,P_fcfs,150.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,160.0
E2_c2|batched,6,favorable,P_fcfs,204.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,159.0
E2_c2|batched,6,favorable,P_fcfs,208.0
E2_c2|batched,6,favorable,P_fcfs,150.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,175.0
E2_c2|batched,6,favorable,P_fcfs,135.0
E2_c2|batched,6,favorable,P_fcfs,145.0
E2_c2|batched,6,favorable,P_fcfs,180.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,209.0
E2_c2|batched,6,favorable,P_fcfs,134.0
E2_c2|batched,6,favorable,P_fcfs,146.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,159.0
E2_c2|batched,6,favorable,P_fcfs,170.0
E2_c2|batched,6,favorable,P_fcfs,194.0
E2_c2|batched,6,favorable,P_fcfs,208.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,179.0
E2_c2|batched,6,favorable,P_fcfs,125.0
E2_c2|batched,6,favorable,P_fcfs,233.0
E2_c2|batched,6,favorable,P_fcfs,179.0
E2_c2|batched,6,favorable,P_fcfs,164.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,165.0
E2_c2|batched,6,favorable,P_fcfs,253.0
E2_c2|batched,6,favorable,P_fcfs,131.0
E2_c2|batched,6,favorable,P_fcfs,198.0
E2_c2|batched,6,favorable,P_fcfs,208.0
E2_c2|batched,6,favorable,P_fcfs,178.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,183.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,170.0
E2_c2|batched,6,favorable,P_fcfs,180.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,175.0
E2_c2|batched,6,favorable,P_fcfs,175.0
E2_c2|batched,6,favorable,P_fcfs,145.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,209.0
E2_c2|batched,6,favorable,P_fcfs,120.0
E2_c2|batched,6,favorable,P_fcfs,194.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,193.0
E2_c2|batched,6,favorable,P_fcfs,136.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,154.0
E2_c2|batched,6,favorable,P_fcfs,168.0
E2_c2|batched,6,favorable,P_fcfs,188.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,144.0
E2_c2|batched,6,favorable,P_fcfs,228.0
E2_c2|batched,6,favorable,P_fcfs,218.0
E2_c2|batched,6,favorable,P_fcfs,164.0
E2_c2|batched,6,favorable,P_fcfs,185.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,153.0
E2_c2|batched,6,favorable,P_fcfs,178.0
E2_c2|batched,6,favorable,P_fcfs,171.0
E2_c2|batched,6,favorable,P_fcfs,180.0
E2_c2|batched,6,favorable,P_fcfs,188.0
E2_c2|batched,6,favorable,P_fcfs,170.0
E2_c2|batched,6,favorable,P_fcfs,213.0
E2_c2|batched,6,favorable,P_fcfs,122.0
E2_c2|batched,6,favorable,P_fcfs,151.0
E2_c2|batched,6,favorable,P_fcfs,198.0
E2_c2|batched,6,favorable,P_fcfs,208.0
E2_c2|batched,6,favorable,P_fcfs,233.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,224.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,253.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,110.0
E2_c2|batched,6,favorable,P_fcfs,198.0
E2_c2|batched,6,favorable,P_fcfs,194.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,154.0
E2_c2|batched,6,favorable,P_fcfs,199.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,154.0
E2_c2|batched,6,favorable,P_fcfs,223.0
E2_c2|batched,6,favorable,P_fcfs,199.0
E2_c2|batched,6,favorable,P_fcfs,144.0
