regime,model,size,policy,arm,favorable_corner,makespan,stagger_cv
E1_c2,abstraction,4,fifo,favorable,HC_HI,126.82533666930806,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,106.88031221467436,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.7865759163434,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,145.57172825956232,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,115.63510277352648,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,73.5809752025416,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,120.48125412758584,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,122.1489408818649,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.7299889837398,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,107.55223785259965,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.76673718380778,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,155.99310994326947,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.46013692670105,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,141.39149654887757,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,98.01002698928737,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.69920366765538,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,87.78506811781064,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.86791096882993,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,112.0555064999216,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,121.62005048716638,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.58206344399852,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.6146561396925,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,110.66433021782363,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,107.45977328341061,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,106.59378610543916,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,149.71320572094714,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.53950035705826,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.25999807902608,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,125.53289062895844,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,112.71850387309155,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,115.93081338266276,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.47197500288823,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,91.63018037494338,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,117.15748911879481,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,102.2646866444025,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,125.71908823769122,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,151.2038899409601,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,150.4068482249759,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,101.88704103989261,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,170.82459729583394,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,97.87703469276235,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,161.20468167497577,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.77218731301082,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,122.0926726375053,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,121.77647052542122,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,136.3835019686965,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,121.90207357771627,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,176.11532529964376,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,89.46667526534802,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.60260300732565,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,88.80942089265474,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.94893800147955,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,78.12433104996613,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,117.94709976766052,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.52632471241589,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,155.514859204596,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,101.9572102887771,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,96.72338235551592,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,145.4994766594926,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.67240170353186,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,175.72616120183903,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,107.23669838629917,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.73116617780616,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,146.2473000217749,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,92.29068431669016,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,121.38504967569185,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,170.80003776991944,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,97.91581618157974,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,132.5115743845931,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,120.65325759710998,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,106.74808137315392,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,84.27516896796556,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.65861208895711,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.81610310669444,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,117.6344780321158,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.91655106947007,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,145.9370912727692,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,141.23376948119886,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,102.98487858983495,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,108.85378501116084,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,91.45978895322895,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.7987042003134,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,125.76757926391537,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.60836385710985,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,97.99335902778367,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.25291015824905,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.35471179029608,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,101.41467016408902,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.37256824696098,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,123.449837424054,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,122.61989443593966,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,98.77687786669786,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.5049192563821,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,110.96340579066204,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,122.2914848169458,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,142.1273697421376,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,101.54502771299617,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.47144985784314,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,156.4479484487156,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,120.60989905360736,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,126.18793426926467,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,96.42829294057609,0.5
