regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,HC_HI,154.0,241.0
E1_c2,abstraction,HC_HI,174.0,260.0
E1_c2,abstraction,HC_HI,184.0,247.0
E1_c2,abstraction,HC_HI,155.0,252.0
E1_c2,abstraction,HC_HI,208.0,314.0
E1_c2,abstraction,HC_HI,208.0,287.0
E1_c2,abstraction,HC_HI,189.0,246.0
E1_c2,abstraction,HC_HI,144.0,213.0
E1_c2,abstraction,HC_HI,170.0,248.0
E1_c2,abstraction,HC_HI,159.0,191.0
E1_c2,abstraction,HC_HI,223.0,290.0
E1_c2,abstraction,HC_HI,204.0,257.0
E1_c2,abstraction,HC_HI,169.0,256.0
E1_c2,abstraction,HC_HI,159.0,257.0
E1_c2,abstraction,HC_HI,169.0,258.0
E1_c2,abstraction,HC_HI,193.0,314.0
E1_c2,abstraction,HC_HI,199.0,274.0
E1_c2,abstraction,HC_HI,168.0,275.0
E1_c2,abstraction,HC_HI,155.0,252.0
E1_c2,abstraction,HC_HI,194.0,240.0
E1_c2,abstraction,HC_HI,139.0,206.0
E1_c2,abstraction,HC_HI,130.0,194.0
E1_c2,abstraction,HC_HI,204.0,286.0
E1_c2,abstraction,HC_HI,184.0,277.0
E1_c2,abstraction,HC_HI,184.0,282.0
E1_c2,abstraction,HC_HI,209.0,290.0
E1_c2,abstraction,HC_HI,144.0,226.0
E1_c2,abstraction,HC_HI,139.0,252.0
E1_c2,abstraction,HC_HI,238.0,303.0
E1_c2,abstraction,HC_HI,155.0,237.0
E1_c2,abstraction,HC_HI,179.0,281.0
E1_c2,abstraction,HC_HI,159.0,266.0
E1_c2,abstraction,HC_HI,164.0,219.0
E1_c2,abstraction,HC_HI,145.0,242.0
E1_c2,abstraction,HC_HI,126.0,207.0
E1_c2,abstraction,HC_HI,188.0,294.0
E1_c2,abstraction,HC_HI,158.0,221.0
E1_c2,abstraction,HC_HI,208.0,275.0
E1_c2,abstraction,HC_HI,193.0,275.0
E1_c2,abstraction,HC_HI,194.0,266.0
E1_c2,abstraction,HC_HI,135.0,222.0
E1_c2,abstraction,HC_HI,169.0,239.0
E1_c2,abstraction,HC_HI,129.0,231.0
E1_c2,abstraction,HC_HI,159.0,191.0
E1_c2,abstraction,HC_HI,174.0,271.0
E1_c2,abstraction,HC_HI,212.0,260.0
E1_c2,abstraction,HC_HI,169.0,258.0
E1_c2,abstraction,HC_HI,219.0,267.0
E1_c2,abstraction,HC_HI,209.0,290.0
E1_c2,abstraction,HC_HI,139.0,252.0
E1_c2,abstraction,HC_HI,203.0,298.0
E1_c2,abstraction,HC_HI,213.0,270.0
E1_c2,abstraction,HC_HI,189.0,266.0
E1_c2,abstraction,HC_HI,218.0,294.0
E1_c2,abstraction,HC_HI,155.0,242.0
