config_id,F,n_amrs,n_elevators,demand,size,scheme,corner,makespan
1,3,5,2,uniform,16,2x2_CI,C0_I0,213.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,198.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,136.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,147.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,123.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,137.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,152.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,236.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,179.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,127.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,141.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,237.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,179.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,179.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,226.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,174.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,223.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,175.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,146.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,242.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,166.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,179.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,213.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,203.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,164.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,165.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,175.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,137.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,174.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,166.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,169.0
