regime,model,size,policy,arm,favorable_corner,makespan
E3_c2,batched,6,cluster,favorable,LC_HI,106.0
E3_c2,batched,6,cluster,favorable,LC_HI,106.0
E3_c2,batched,6,cluster,favorable,LC_HI,106.0
E3_c2,batched,6,cluster,favorable,LC_HI,111.0
E3_c2,batched,6,cluster,favorable,LC_HI,116.0
E3_c2,batched,6,cluster,favorable,LC_HI,82.0
E3_c2,batched,6,cluster,favorable,LC_HI,106.0
E3_c2,batched,6,cluster,favorable,LC_HI,101.0
E3_c2,batched,6,cluster,favorable,LC_HI,107.0
E3_c2,batched,6,cluster,favorable,LC_HI,107.0
E3_c2,batched,6,cluster,favorable,LC_HI,116.0
E3_c2,batched,6,cluster,favorable,LC_HI,131.0
E3_c2,batched,6,cluster,favorable,LC_HI,116.0
E3_c2,batched,6,cluster,favorable,LC_HI,96.0
